Model,Balanced Accuracy,Accuracy,F1 Score
Logistic_Regression,0.4144945574702222,0.7104825291181365,0.6668181609012503
SVM,0.6581952309574582,0.5324459234608985,0.564802872880895
Random_Forest,0.5373013970154461,0.5424292845257903,0.5640140768140731
XGboost,0.42349152287538194,0.7071547420965059,0.6873379658753751
